TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1021.1819 2782.0308 1273.9939 167.1620 -97120.2866 6231.5323 0.0000 0.0000 17960.8844 -67683.5013 308.3333 -85644.3856 -67608.2163 308.3333 -189.2104 -163.3037 274973.3270 -189.2104 -163.3037
1012500 979.1982 2726.7578 1306.2421 162.6733 -97327.2896 6276.5362 0.0000 0.0000 18194.1351 -67681.7470 312.3375 -85875.8821 -67603.3031 310.9374 -95.1565 -64.2871 274973.3270 61.0676 61.0689
1020000 1015.2386 2678.1222 1265.0139 168.0707 -97067.7652 6281.1325 0.0000 0.0000 17985.5841 -67674.6032 308.7573 -85660.1873 -67599.9943 310.8140 375.6477 401.7561 274973.3270 60.2547 60.2534
1027500 1010.1491 2707.7892 1316.3567 187.3210 -97141.5005 6234.0349 0.0000 0.0000 18009.3612 -67676.4884 309.1655 -85685.8496 -67602.1437 310.9793 39.4118 73.3932 274973.3270 60.3687 60.3686
1035000 1053.0638 2732.1285 1292.3120 175.3990 -97278.2541 6319.5459 0.0000 0.0000 18035.5759 -67670.2291 309.6155 -85705.8050 -67598.1044 310.9326 -402.7249 -377.4407 274973.3270 52.6980 52.6972
1042500 986.7008 2780.4041 1292.2557 174.0070 -97156.0509 6166.1465 0.0000 0.0000 18084.0065 -67672.5303 310.4469 -85756.5368 -67598.5909 311.1998 -666.3455 -640.7629 274973.3270 46.1469 46.1474
1050000 1003.3296 2770.2703 1273.2776 150.3773 -97364.5312 6332.3383 0.0000 0.0000 18167.0539 -67667.8843 311.8726 -85834.9382 -67594.6735 311.2082 348.9659 381.0806 274973.3270 83.7939 83.7952
1057500 1040.8900 2697.8622 1291.8887 159.7933 -97397.5180 6385.5203 0.0000 0.0000 18153.5667 -67667.9969 311.6411 -85821.5636 -67593.7346 311.3491 198.0258 230.0328 274973.3270 44.6595 44.6582
1065000 983.2035 2716.4017 1282.0718 180.2728 -97186.0517 6220.5114 0.0000 0.0000 18134.5075 -67669.0831 311.3139 -85803.5906 -67593.0204 311.5141 -333.6055 -306.5870 274973.3270 52.2467 52.2457
1072500 972.0488 2738.3041 1261.2876 162.4057 -97081.1848 6224.0498 0.0000 0.0000 18059.3527 -67663.7360 310.0237 -85723.0887 -67589.2240 311.1572 -447.5250 -419.0971 274973.3270 35.4210 35.4228
1080000 1045.8596 2697.1992 1287.8603 158.1378 -97029.8593 6082.9539 0.0000 0.0000 18098.4670 -67659.3816 310.6952 -85757.8486 -67588.8529 310.9206 -166.4456 -136.4015 274973.3270 41.9759 41.9749
1087500 994.3002 2723.3963 1326.6530 169.6827 -97260.6107 6262.9361 0.0000 0.0000 18123.6207 -67660.0216 311.1270 -85783.6424 -67585.4522 310.8767 -241.6977 -214.6478 274973.3270 49.4011 49.4011
1095000 951.0881 2786.8559 1314.1549 166.5436 -97472.7948 6436.7758 0.0000 0.0000 18153.0011 -67664.3755 311.6314 -85817.3765 -67588.3591 311.1596 48.3880 75.5968 274973.3270 79.1212 79.1222
1102500 976.9164 2779.0655 1282.6156 172.2681 -97358.7340 6371.6297 0.0000 0.0000 18111.9508 -67664.2878 310.9266 -85776.2386 -67588.6524 311.2519 -13.2652 16.2565 274973.3270 83.3508 83.3517
1110000 1020.3825 2738.3110 1306.0043 167.9812 -97414.5209 6469.8040 0.0000 0.0000 18051.9298 -67660.1082 309.8963 -85712.0379 -67587.2539 311.2457 -146.2472 -117.3435 274973.3270 74.9616 74.9609
1117500 998.6467 2751.6941 1276.3722 179.2884 -97498.4350 6414.2197 0.0000 0.0000 18218.1077 -67660.1061 312.7490 -85878.2138 -67584.7423 311.7530 479.4310 507.1061 274973.3270 47.6202 47.6199
1125000 967.6057 2719.5649 1297.6994 162.6151 -97129.5030 6200.6299 0.0000 0.0000 18121.4482 -67659.9398 311.0897 -85781.3880 -67584.8387 311.1192 237.8377 265.3765 274973.3270 55.1338 55.1334
1132500 983.9348 2773.8859 1305.3863 173.4211 -97383.0964 6324.0518 0.0000 0.0000 18169.1784 -67653.2382 311.9091 -85822.4166 -67581.1076 310.9426 -186.4893 -160.1700 274973.3270 76.5931 76.5930
1140000 1020.2844 2768.9158 1268.9252 173.8378 -97322.0232 6297.3900 0.0000 0.0000 18139.4753 -67653.1946 311.3992 -85792.6699 -67580.5362 311.1326 78.1065 101.8481 274973.3270 33.0002 32.9989
