TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1050.0723 2819.9961 1282.4766 166.5182 -97578.7655 6291.8508 0.0000 0.0000 17891.4737 -68076.3777 307.1994 -85967.8515 -68001.3250 307.1994 -108.5811 -74.7711 275133.2618 -108.5811 -74.7711
1012500 979.0285 2723.9103 1256.1759 168.2280 -97618.3515 6406.0898 0.0000 0.0000 18013.3784 -68071.5407 309.2925 -86084.9190 -67996.3695 308.0260 -68.8968 -44.5768 275133.2618 -16.6859 -16.6866
1020000 979.2253 2702.9812 1253.4836 179.9910 -97581.0834 6414.5574 0.0000 0.0000 17981.9242 -68068.9207 308.7524 -86050.8449 -67998.0072 307.6202 38.4657 74.7653 275133.2618 -21.9085 -21.9068
1027500 986.7232 2664.6264 1283.4120 168.3622 -97362.8341 6216.7310 0.0000 0.0000 17972.1641 -68070.8152 308.5848 -86042.9793 -67997.7152 307.7956 -24.9474 6.0496 275133.2618 -11.5300 -11.5320
1035000 952.4634 2719.6804 1286.3189 179.7265 -97172.8624 6023.8041 0.0000 0.0000 17939.9967 -68070.8724 308.0325 -86010.8691 -67994.1267 307.8363 -379.8821 -349.8906 275133.2618 -30.5698 -30.5680
1042500 988.7451 2723.0520 1249.6738 181.7302 -97219.5071 6247.1538 0.0000 0.0000 17757.2041 -68071.9480 304.8939 -85829.1521 -67996.8386 307.7891 -150.3824 -123.2002 275133.2618 -38.8581 -38.8591
1050000 1018.3169 2707.5896 1258.9052 166.4112 -97539.5625 6385.3995 0.0000 0.0000 17929.7464 -68073.1937 307.8565 -86002.9401 -67999.4606 307.7103 -153.2353 -120.5060 275133.2618 -38.7307 -38.7305
1057500 985.6162 2706.5442 1245.1085 167.4939 -97338.5838 6148.1883 0.0000 0.0000 18014.5379 -68071.0948 309.3124 -86085.6326 -67996.8675 307.8412 -181.4416 -148.8366 275133.2618 -23.2341 -23.2347
1065000 968.7268 2754.0992 1278.7438 169.1741 -97279.5976 6145.8733 0.0000 0.0000 17897.9421 -68065.0384 307.3104 -85962.9805 -67995.8880 307.7283 -426.4976 -400.6281 275133.2618 -7.5641 -7.5649
1072500 1000.8712 2703.1035 1299.2237 171.7652 -97650.6063 6382.7360 0.0000 0.0000 18024.5539 -68068.3529 309.4844 -86092.9067 -67994.5911 307.7155 -253.0622 -228.1270 275133.2618 8.2014 8.2011
1080000 978.7623 2777.1696 1254.4330 158.5563 -97481.3311 6254.8057 0.0000 0.0000 17989.2609 -68068.3432 308.8784 -86057.6042 -67993.9321 307.9054 -493.7966 -468.3150 275133.2618 13.9482 13.9483
1087500 1010.1458 2705.6425 1277.6448 190.5950 -97569.1384 6547.2588 0.0000 0.0000 17774.5617 -68063.2898 305.1920 -85837.8515 -67988.7446 307.7148 464.5631 491.1412 275133.2618 -37.1147 -37.1141
1095000 1015.7239 2743.2124 1288.9640 168.8895 -97632.2778 6425.3243 0.0000 0.0000 17928.6862 -68061.4775 307.8383 -85990.1638 -67988.5897 307.7705 373.8877 398.6701 275133.2618 11.2153 11.2144
1102500 967.1643 2746.8152 1273.1319 170.9741 -97372.9993 6265.8574 0.0000 0.0000 17884.0268 -68065.0297 307.0715 -85949.0565 -67989.8742 307.6604 50.5774 80.2873 275133.2618 -15.6912 -15.6890
1110000 970.1641 2707.0505 1273.5764 163.3630 -97494.7795 6397.5002 0.0000 0.0000 17918.3895 -68064.7359 307.6615 -85983.1254 -67989.7185 307.9211 452.1488 479.8855 275133.2618 2.7138 2.7135
1117500 989.3252 2708.3796 1283.3402 169.7185 -97269.4991 6223.6208 0.0000 0.0000 17836.2093 -68058.9056 306.2505 -85895.1149 -67986.6446 307.9171 -238.1587 -213.5408 275133.2618 16.5281 16.5277
1125000 982.9115 2697.4205 1250.9600 163.2956 -97416.1995 6255.7215 0.0000 0.0000 18007.8075 -68058.0829 309.1968 -86065.8904 -67984.0677 307.7091 301.4361 331.6420 275133.2618 -25.5512 -25.5528
1132500 987.9852 2763.7808 1220.5549 172.9269 -97346.1399 6321.7698 0.0000 0.0000 17820.3644 -68058.7580 305.9784 -85879.1224 -67983.8214 307.8590 180.7983 206.2541 275133.2618 -37.3765 -37.3758
1140000 934.4826 2738.5800 1281.7081 162.2499 -97506.9785 6509.2859 0.0000 0.0000 17824.1074 -68056.5645 306.0427 -85880.6719 -67984.4873 307.8647 128.2253 165.0805 275133.2618 -2.2304 -2.2284
1147500 968.1302 2785.0176 1266.6310 150.7312 -97464.1752 6304.9375 0.0000 0.0000 17931.7409 -68056.9868 307.8908 -85988.7277 -67981.1655 308.2753 -820.0017 -790.3300 275133.2618 15.2434 15.2432
1155000 981.2028 2773.2423 1299.2258 171.7344 -97493.0779 6320.5527 0.0000 0.0000 17892.1793 -68054.9406 307.2115 -85947.1199 -67981.7834 308.0467 33.0548 61.9615 275133.2618 -10.8348 -10.8369
1162500 975.6952 2691.6825 1292.1549 168.6686 -97436.5423 6357.2665 0.0000 0.0000 17897.9434 -68053.1311 307.3105 -85951.0745 -67979.1957 307.8930 -528.5288 -497.0861 275133.2618 -26.3109 -26.3106
1170000 949.5971 2656.0966 1258.8682 159.1580 -97391.2792 6308.6707 0.0000 0.0000 18000.3981 -68058.4905 309.0696 -86058.8886 -67983.3986 307.9804 -286.5507 -256.8694 275133.2618 13.2676 13.2690
1177500 936.4656 2795.9546 1274.5208 156.7822 -97351.6549 6303.6369 0.0000 0.0000 17837.3659 -68046.9290 306.2703 -85884.2949 -67975.1860 307.8757 324.7876 358.0485 275133.2618 -20.9446 -20.9456
1185000 984.0475 2735.2812 1305.8463 174.3610 -97631.3930 6443.3004 0.0000 0.0000 17940.7639 -68047.7927 308.0457 -85988.5566 -67977.8806 307.7727 238.7063 277.1696 275133.2618 29.1113 29.1135
1192500 1007.0389 2728.0214 1259.0061 164.2024 -97473.1050 6380.0130 0.0000 0.0000 17882.9450 -68051.8783 307.0529 -85934.8233 -67978.6454 307.8549 -35.1746 -3.0280 275133.2618 -4.0993 -4.1006
