TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1032.8495 2823.4452 1253.1869 157.6489 -97262.6939 6245.3324 0.0000 0.0000 17866.2095 -67884.0215 306.8232 -85750.2310 -67807.6295 306.8232 281.4579 311.3644 274122.6592 281.4579 311.3644
1012500 974.8467 2790.4309 1314.0708 167.6402 -97475.7744 6428.5146 0.0000 0.0000 17923.5487 -67876.7224 307.8079 -85800.2712 -67802.7335 309.7188 190.9752 217.2215 274122.6592 52.3629 52.3634
1020000 1014.2479 2767.7253 1284.0826 171.2907 -97452.2045 6427.8854 0.0000 0.0000 17912.0130 -67874.9596 307.6098 -85786.9726 -67801.4792 309.7104 130.7705 160.2926 274122.6592 56.4314 56.4316
1027500 994.0375 2724.8742 1297.2051 161.8465 -97541.4977 6412.3819 0.0000 0.0000 18074.1575 -67876.9950 310.3943 -85951.1526 -67803.1343 309.7807 116.5243 146.7334 274122.6592 58.8577 58.8583
1035000 952.5730 2742.3990 1253.7136 169.3511 -97242.6234 6189.2061 0.0000 0.0000 18057.3897 -67877.9909 310.1064 -85935.3806 -67802.3404 309.6615 72.9576 103.0808 274122.6592 81.8281 81.8266
1042500 982.3854 2718.5974 1291.0231 180.5032 -97445.7697 6398.3133 0.0000 0.0000 18003.9709 -67870.9764 309.1890 -85874.9473 -67797.8487 309.5711 -170.0418 -143.0397 274122.6592 74.6370 74.6365
1050000 951.6905 2745.4002 1300.0192 182.1595 -97342.4855 6280.4136 0.0000 0.0000 18008.3277 -67874.4748 309.2638 -85882.8026 -67798.3487 309.5772 243.9989 278.6887 274122.6592 81.9693 81.9716
1057500 996.8280 2672.9675 1324.0661 186.7436 -97417.4200 6223.6753 0.0000 0.0000 18138.5795 -67874.5600 311.5007 -86013.1395 -67799.9313 309.8315 -135.1400 -102.6532 274122.6592 107.2551 107.2543
1065000 996.2510 2843.3314 1303.6614 151.2189 -97813.1747 6586.2434 0.0000 0.0000 18058.5382 -67873.9304 310.1261 -85932.4686 -67798.4320 310.0059 388.1767 415.0892 274122.6592 74.8166 74.8166
1072500 959.4445 2783.7883 1286.0565 183.6481 -97525.6771 6375.0854 0.0000 0.0000 18066.9321 -67870.7222 310.2702 -85937.6543 -67797.1866 309.5878 557.9034 584.7191 274122.6592 89.0579 89.0578
1080000 1007.5548 2761.6690 1257.9000 158.9342 -97295.2880 6203.8617 0.0000 0.0000 18032.5403 -67872.8281 309.6796 -85905.3684 -67797.8611 309.7413 -237.2397 -205.9987 274122.6592 116.2439 116.2437
1087500 1008.7148 2742.4761 1277.2995 163.0021 -97647.0529 6537.4132 0.0000 0.0000 18045.9059 -67872.2414 309.9092 -85918.1473 -67798.4482 309.4770 300.4417 329.9021 274122.6592 94.3702 94.3692
1095000 1000.4923 2787.7646 1293.5893 180.3238 -97133.5963 6086.6435 0.0000 0.0000 17916.3561 -67868.4267 307.6843 -85784.7828 -67796.7383 309.7787 -476.1190 -445.9509 274122.6592 89.8174 89.8179
1102500 977.2255 2752.2296 1273.5827 155.2777 -97371.7648 6366.0178 0.0000 0.0000 17976.8773 -67870.5542 308.7237 -85847.4315 -67796.0182 309.8320 -313.8794 -281.1780 274122.6592 66.8323 66.8333
1110000 994.0227 2730.7315 1262.4667 162.7314 -97486.6384 6276.9554 0.0000 0.0000 18184.7512 -67874.9797 312.2936 -86059.7309 -67797.2931 310.0266 -229.2125 -197.1296 274122.6592 81.1077 81.1061
1117500 1011.0661 2777.3465 1270.1801 167.2436 -97424.9382 6383.5984 0.0000 0.0000 17946.7647 -67868.7388 308.2066 -85815.5035 -67794.2103 309.8709 -165.8534 -142.0756 274122.6592 65.6035 65.6031
1125000 973.2691 2747.5721 1302.9801 160.4321 -97337.8402 6242.2891 0.0000 0.0000 18040.2832 -67871.0145 309.8126 -85911.2977 -67793.4972 309.6831 172.0249 201.0752 274122.6592 95.2584 95.2584
1132500 981.0516 2754.9414 1283.0770 180.9244 -97375.9670 6370.5031 0.0000 0.0000 17938.3274 -67867.1420 308.0617 -85805.4694 -67792.7010 309.7126 -387.5490 -355.7919 274122.6592 88.8784 88.8795
1140000 1032.2926 2677.1488 1298.3550 178.9641 -97591.1261 6376.2137 0.0000 0.0000 18164.5070 -67863.6448 311.9459 -86028.1518 -67789.7400 310.0590 -139.6772 -109.6345 274122.6592 83.5927 83.5935
1147500 1000.6636 2711.4779 1267.8164 153.1304 -97314.0603 6298.1492 0.0000 0.0000 18021.1584 -67861.6646 309.4842 -85882.8230 -67785.6476 309.8814 311.0290 336.8019 274122.6592 86.2643 86.2636
1155000 1015.1517 2789.1908 1264.5252 162.5833 -97419.2182 6261.1407 0.0000 0.0000 18068.3164 -67858.3100 310.2940 -85926.6264 -67784.6140 309.9723 327.1192 346.4599 274122.6592 62.9133 62.9126
1162500 1002.2321 2766.2328 1273.0900 178.6339 -97174.7165 6129.4939 0.0000 0.0000 17965.0074 -67860.0264 308.5199 -85825.0338 -67783.3037 310.1926 -278.2968 -251.2941 274122.6592 50.2727 50.2741
1170000 1004.9134 2798.6627 1283.3328 158.0347 -97238.5055 6104.6558 0.0000 0.0000 18032.6699 -67856.2362 309.6818 -85888.9062 -67782.5772 309.9014 -55.2884 -29.2378 274122.6592 91.4191 91.4189
1177500 995.1163 2722.7776 1273.5486 155.7653 -97062.3309 6151.9878 0.0000 0.0000 17907.0397 -67856.0956 307.5244 -85763.1353 -67783.6295 309.8079 205.7481 238.9097 274122.6592 87.4532 87.4528
1185000 998.4114 2738.3941 1284.1224 161.8351 -97343.4739 6351.6419 0.0000 0.0000 17954.2618 -67854.8071 308.3353 -85809.0690 -67780.1794 309.8270 294.5416 320.1961 274122.6592 73.1016 73.1013
1192500 992.6089 2790.0357 1250.5881 156.1530 -97152.8583 6231.1248 0.0000 0.0000 17879.0103 -67853.3374 307.0430 -85732.3477 -67779.7993 309.9919 52.3120 78.9691 274122.6592 92.2251 92.2262
