TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1026.5269 2731.2316 1268.6283 170.8073 -97068.0270 6095.2445 0.0000 0.0000 18090.7710 -67684.8174 310.6001 -85775.5884 -67610.4468 310.6001 -19.6764 8.9929 274314.7134 -19.6764 8.9929
1012500 980.2830 2735.4368 1267.6819 184.6837 -97318.0112 6267.4792 0.0000 0.0000 18201.8677 -67680.5788 312.5076 -85882.4466 -67605.0244 310.5470 -729.9743 -698.1677 274314.7134 78.7483 78.7499
1020000 985.6352 2754.9904 1289.4038 179.7608 -97381.2966 6355.0526 0.0000 0.0000 18136.9769 -67679.4768 311.3934 -85816.4537 -67602.4636 310.5515 208.7657 234.5713 274314.7134 80.5788 80.5790
1027500 1020.2425 2766.7782 1296.7399 165.2302 -97305.8769 6194.5247 0.0000 0.0000 18184.0888 -67678.2727 312.2023 -85862.3615 -67604.5966 310.6075 -235.1578 -200.5650 274314.7134 77.3859 77.3863
1035000 961.9053 2712.3436 1314.1930 183.7358 -96927.9660 6069.2009 0.0000 0.0000 18009.4992 -67677.0882 309.2048 -85686.5874 -67602.2968 310.3934 -438.3083 -406.1647 274314.7134 93.1619 93.1615
1042500 1032.1993 2783.5645 1311.0558 169.6848 -97521.5272 6531.2338 0.0000 0.0000 18019.0455 -67674.7436 309.3687 -85693.7890 -67601.8879 310.6722 700.7942 728.0072 274314.7134 100.5492 100.5489
1050000 948.8343 2721.3681 1272.2790 163.7699 -97040.7406 6032.1259 0.0000 0.0000 18221.2977 -67681.0656 312.8411 -85902.3633 -67603.2131 310.7474 -717.8611 -688.1692 274314.7134 114.9985 114.9982
1057500 984.7522 2741.7307 1283.5489 176.4524 -96950.3336 6114.7681 0.0000 0.0000 17972.9044 -67676.1770 308.5765 -85649.0814 -67601.5871 310.5488 -288.2253 -258.8580 274314.7134 93.0924 93.0923
1065000 969.7364 2753.8826 1307.6733 166.9177 -97248.5690 6280.8987 0.0000 0.0000 18094.6889 -67674.7715 310.6674 -85769.4604 -67600.1762 310.6159 -142.0584 -109.7573 274314.7134 88.4808 88.4807
1072500 994.3526 2680.3138 1296.2937 155.8175 -97166.9820 6262.7074 0.0000 0.0000 18103.0786 -67674.4184 310.8114 -85777.4970 -67600.4412 310.7409 426.7069 462.7561 274314.7134 97.1889 97.1916
1080000 972.3507 2705.3843 1285.5878 169.6437 -97326.6784 6333.2687 0.0000 0.0000 18183.6690 -67676.7741 312.1951 -85860.4431 -67600.0624 310.5659 307.8189 340.2527 274314.7134 120.5961 120.5951
1087500 999.2494 2682.9422 1289.4892 181.0536 -97365.1087 6513.8630 0.0000 0.0000 18025.6036 -67672.9077 309.4813 -85698.5113 -67599.8179 310.5023 85.3869 114.2065 274314.7134 95.1592 95.1589
1095000 954.9727 2645.5800 1278.2438 167.4787 -97231.9649 6349.9641 0.0000 0.0000 18160.2060 -67675.5196 311.7923 -85835.7256 -67598.6936 310.5736 -206.4366 -175.1826 274314.7134 96.2691 96.2676
1102500 980.7377 2672.7410 1292.7544 171.5699 -97282.8842 6288.9969 0.0000 0.0000 18203.7177 -67672.3667 312.5393 -85876.0844 -67597.0401 310.6218 -538.3095 -505.9819 274314.7134 116.5928 116.5941
1110000 986.3240 2749.9069 1261.1735 162.1375 -97171.5980 6345.4744 0.0000 0.0000 18001.8997 -67664.6821 309.0743 -85666.5818 -67592.0297 310.5091 765.3525 801.4247 274314.7134 83.6853 83.6845
1117500 966.4203 2746.9764 1285.3443 171.0155 -97460.4268 6459.0169 0.0000 0.0000 18159.9750 -67671.6784 311.7883 -85831.6534 -67595.4969 310.6966 270.2078 304.3640 274314.7134 78.6599 78.6608
1125000 997.6816 2762.2082 1288.5874 164.5873 -97175.2402 6224.2653 0.0000 0.0000 18069.9897 -67667.9207 310.2433 -85737.9104 -67594.3664 310.2314 -266.2600 -240.7028 274314.7134 76.3650 76.3646
1132500 991.1751 2784.2785 1289.5364 187.1522 -97266.7221 6235.4921 0.0000 0.0000 18110.0887 -67668.9990 310.9318 -85779.0878 -67592.1369 310.5648 72.2892 103.0583 274314.7134 81.3325 81.3314
1140000 1011.3072 2792.3772 1262.7751 156.7503 -97038.1307 6214.2971 0.0000 0.0000 17931.8809 -67668.7428 307.8722 -85600.6237 -67594.2798 310.8683 99.9351 125.7416 274314.7134 75.9671 75.9677
1147500 973.4789 2743.5783 1283.5776 172.3210 -97465.9301 6328.2639 0.0000 0.0000 18295.1906 -67669.5199 314.1098 -85964.7104 -67595.1292 310.7974 -8.0423 25.6600 274314.7134 106.9940 106.9932
1155000 997.8482 2751.0110 1268.2241 174.1801 -97463.2604 6513.5464 0.0000 0.0000 18092.2877 -67666.1631 310.6262 -85758.4507 -67594.2673 310.6878 191.6069 222.0704 274314.7134 90.5850 90.5858
1162500 956.3862 2735.2075 1292.0374 169.5186 -97168.9991 6129.9389 0.0000 0.0000 18219.7151 -67666.1954 312.8140 -85885.9105 -67589.5356 310.9867 -96.8677 -64.0455 274314.7134 92.0185 92.0183
1170000 1022.1258 2784.1209 1327.3794 181.2643 -97442.9949 6453.3232 0.0000 0.0000 18010.4638 -67664.3175 309.2213 -85674.7813 -67592.7014 310.6882 153.8610 182.3476 274314.7134 84.9507 84.9512
1177500 982.2030 2727.1341 1275.7726 174.7314 -97444.6838 6347.2194 0.0000 0.0000 18269.5467 -67668.0766 313.6695 -85937.6233 -67590.4963 310.7357 -351.2838 -325.7479 274314.7134 99.4171 99.4159
1185000 964.0372 2705.8979 1315.5624 183.8529 -97281.0848 6354.3430 0.0000 0.0000 18090.0571 -67667.3341 310.5879 -85757.3912 -67591.0622 310.7415 154.8305 182.7330 274314.7134 125.8800 125.8817
1192500 954.7012 2759.1937 1311.6733 178.8159 -97534.4833 6427.9562 0.0000 0.0000 18233.3843 -67668.7589 313.0487 -85902.1432 -67592.5318 310.4864 888.0805 919.6487 274314.7134 107.8847 107.8839
1200000 979.8198 2782.5351 1270.3120 173.2864 -97659.0004 6577.4525 0.0000 0.0000 18211.2174 -67664.3773 312.6681 -85875.5947 -67589.2322 310.7821 9.9405 37.7244 274314.7134 71.4571 71.4554
1207500 1013.5743 2735.0227 1261.5894 181.5415 -97452.7624 6396.9595 0.0000 0.0000 18202.5169 -67661.5581 312.5187 -85864.0750 -67586.2870 310.8226 38.7303 69.7768 274314.7134 75.9253 75.9273
1215000 1012.6647 2682.8013 1258.7185 158.0277 -97140.4338 6301.6098 0.0000 0.0000 18065.7938 -67660.8179 310.1713 -85726.6117 -67582.2349 310.5614 227.1989 256.0431 274314.7134 73.3529 73.3522
1222500 1015.0002 2733.7435 1220.4277 165.5345 -96938.6805 6190.2218 0.0000 0.0000 17957.3972 -67656.3556 308.3102 -85613.7528 -67581.4104 310.5651 456.4158 483.5660 274314.7134 80.7562 80.7564
1230000 999.2254 2675.7266 1272.1108 176.3745 -97322.9411 6410.5085 0.0000 0.0000 18133.5673 -67655.4279 311.3349 -85788.9952 -67581.0445 311.0358 2.1393 29.3779 274314.7134 138.2259 138.2254
1237500 991.9277 2652.4508 1259.9640 156.9849 -96984.1250 6106.5258 0.0000 0.0000 18158.6910 -67657.5808 311.7663 -85816.2718 -67582.3637 310.5748 -451.9679 -423.2062 274314.7134 94.2673 94.2670
1245000 1013.2439 2723.1479 1304.9347 169.7257 -97293.7760 6307.3349 0.0000 0.0000 18120.7144 -67654.6745 311.1142 -85775.3889 -67579.8423 310.7675 267.0838 298.3756 274314.7134 77.3346 77.3352
1252500 962.6480 2714.4618 1309.2612 187.8073 -97223.9636 6316.5679 0.0000 0.0000 18078.2763 -67654.9411 310.3856 -85733.2174 -67578.2834 310.7694 628.4691 649.9987 274314.7134 96.0933 96.0927
1260000 992.4152 2734.2869 1263.2184 166.2993 -97009.0657 6191.2921 0.0000 0.0000 18008.0729 -67653.4809 309.1803 -85661.5538 -67578.3762 310.8357 181.6663 210.0862 274314.7134 80.8379 80.8397
1267500 1043.8193 2665.3743 1293.9959 156.7471 -97327.5259 6283.4956 0.0000 0.0000 18227.7418 -67656.3518 312.9518 -85884.0937 -67580.2413 310.7975 -480.3677 -448.6358 274314.7134 97.2692 97.2688
1275000 985.0697 2713.3701 1266.9322 169.8238 -97493.2541 6600.5829 0.0000 0.0000 18109.7686 -67647.7067 310.9263 -85757.4753 -67574.8474 310.7938 383.8248 408.0392 274314.7134 108.7500 108.7478
1282500 1000.0626 2725.4860 1252.7003 176.1152 -97458.1132 6505.1329 0.0000 0.0000 18150.5474 -67648.0688 311.6264 -85798.6162 -67573.8562 310.7524 210.9119 244.4390 274314.7134 102.3044 102.3063
1290000 1005.0138 2750.0878 1276.3447 188.0596 -97058.2878 6191.2232 0.0000 0.0000 18004.0079 -67643.5509 309.1105 -85647.5587 -67573.0839 310.6994 198.8644 229.2859 274314.7134 132.2829 132.2819
1297500 1026.3044 2694.6651 1294.4453 166.7977 -97371.7450 6415.6954 0.0000 0.0000 18129.7503 -67644.0869 311.2694 -85773.8371 -67570.2813 310.8001 -307.8013 -282.7644 274314.7134 136.3621 136.3622
1305000 972.0708 2651.4867 1295.0825 173.6414 -97043.0658 6231.8254 0.0000 0.0000 18073.4977 -67645.4613 310.3036 -85718.9590 -67571.5942 310.6804 391.1735 416.3859 274314.7134 113.7081 113.7086
1312500 955.2892 2758.5564 1313.5492 179.8959 -97068.9532 6137.1899 0.0000 0.0000 18080.4088 -67644.0638 310.4222 -85724.4726 -67569.3506 310.9880 -713.3071 -686.2529 274314.7134 87.1720 87.1713
1320000 989.3294 2752.6881 1275.1702 165.0145 -97214.6092 6350.0318 0.0000 0.0000 18036.0535 -67646.3217 309.6607 -85682.3752 -67570.0126 310.8273 254.0873 280.3368 274314.7134 113.4172 113.4178
1327500 967.5464 2807.8619 1305.7041 177.4830 -97682.7697 6719.8054 0.0000 0.0000 18059.6691 -67644.6999 310.0662 -85704.3690 -67570.7998 310.5639 436.9482 468.7893 274314.7134 84.8872 84.8875
1335000 981.3011 2775.0720 1282.5822 173.3627 -97578.1209 6594.9517 0.0000 0.0000 18130.7605 -67640.0907 311.2867 -85770.8511 -67567.0000 310.8283 646.6527 676.9190 274314.7134 101.9060 101.9054
1342500 992.1315 2726.8406 1278.2970 166.1446 -97272.0642 6330.1308 0.0000 0.0000 18134.1321 -67644.3877 311.3446 -85778.5197 -67569.8444 310.5400 196.3741 219.0166 274314.7134 116.9317 116.9322
1350000 987.9952 2630.3639 1292.9707 168.3327 -97166.5936 6200.5686 0.0000 0.0000 18239.8148 -67646.5478 313.1591 -85886.3626 -67567.9787 310.4165 463.8646 492.4925 274314.7134 92.5328 92.5319
1357500 1005.2480 2777.3379 1244.3396 164.8665 -97510.5046 6467.6129 0.0000 0.0000 18208.5337 -67642.5659 312.6220 -85851.0996 -67569.1440 310.7876 570.9631 596.0094 274314.7134 113.3013 113.3023
1365000 995.8301 2706.5636 1292.6711 167.3023 -97540.5181 6466.5134 0.0000 0.0000 18272.4647 -67639.1729 313.7196 -85911.6377 -67565.6489 310.5773 509.6081 533.7855 274314.7134 105.0422 105.0417
1372500 967.3433 2722.6607 1304.0412 157.9808 -97264.2509 6343.9201 0.0000 0.0000 18125.7965 -67642.5083 311.2015 -85768.3048 -67565.3214 310.5074 -42.8530 -9.0954 274314.7134 94.9036 94.9041
1380000 995.9601 2728.2414 1298.3983 159.9851 -97381.9033 6393.1196 0.0000 0.0000 18166.9363 -67639.2624 311.9078 -85806.1987 -67564.9482 310.7872 -403.1831 -373.6890 274314.7134 82.8919 82.8919
