TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1009.3328 2836.6794 1288.5883 187.0663 -97661.7193 6320.1416 0.0000 0.0000 17834.8968 -68185.0141 306.1391 -86019.9109 -68108.2260 306.1391 335.8417 367.3597 274553.7878 335.8417 367.3597
1012500 979.4602 2738.8313 1286.3294 169.0435 -97670.6891 6342.1978 0.0000 0.0000 17970.4434 -68184.3835 308.4658 -86154.8269 -68109.3526 307.7183 -124.7869 -94.2035 274553.7878 10.7239 10.7210
1020000 972.2033 2708.4610 1270.2699 165.9053 -97534.7152 6415.8118 0.0000 0.0000 17823.4371 -68178.6269 305.9424 -86002.0639 -68107.0924 307.3902 -59.1726 -32.6427 274553.7878 27.3490 27.3503
1027500 967.9054 2749.2304 1298.1271 173.8971 -97773.7094 6512.5000 0.0000 0.0000 17890.8729 -68181.1765 307.1000 -86072.0493 -68107.3615 307.3291 454.9817 480.7230 274553.7878 29.6988 29.6985
1035000 1011.1293 2706.5834 1273.2613 171.9817 -97649.8949 6358.9874 0.0000 0.0000 17947.1600 -68180.7918 308.0662 -86127.9518 -68107.2528 307.3593 -305.1584 -279.1379 274553.7878 20.3900 20.3894
1042500 992.5057 2812.1601 1283.0590 158.8743 -97780.9789 6374.3038 0.0000 0.0000 17978.7741 -68181.3018 308.6088 -86160.0759 -68107.9722 307.5676 -11.6637 18.8735 274553.7878 32.0807 32.0809
1050000 973.2662 2740.3455 1302.7757 180.6144 -97747.4316 6457.3870 0.0000 0.0000 17916.4033 -68176.6395 307.5382 -86093.0428 -68105.3761 307.5855 270.4049 297.2483 274553.7878 18.7002 18.7015
1057500 966.9897 2741.0194 1271.1935 159.7986 -97436.3591 6232.4240 0.0000 0.0000 17889.4711 -68175.4628 307.0759 -86064.9340 -68101.2509 307.8105 254.6727 283.4546 274553.7878 34.5998 34.5995
1065000 977.9939 2769.1570 1267.8878 169.6348 -97591.9307 6445.1233 0.0000 0.0000 17790.7113 -68171.4227 305.3807 -85962.1340 -68098.0172 307.5661 252.3967 290.1804 274553.7878 7.2000 7.1992
1072500 957.7090 2690.2529 1270.1853 172.3229 -97575.3894 6338.1945 0.0000 0.0000 17971.7018 -68175.0231 308.4874 -86146.7249 -68099.2868 307.6717 -137.3946 -103.5903 274553.7878 27.1679 27.1681
1080000 1015.3570 2714.3868 1264.1504 164.9633 -97736.4899 6355.1246 0.0000 0.0000 18047.8639 -68174.6439 309.7948 -86222.5078 -68100.8670 307.8053 186.0777 220.2269 274553.7878 43.2640 43.2645
1087500 959.7361 2690.9040 1288.1118 170.5829 -97574.4342 6338.9591 0.0000 0.0000 17954.1678 -68171.9725 308.1865 -86126.1403 -68099.0166 307.6253 -340.0299 -313.9660 274553.7878 25.4372 25.4370
1095000 955.4694 2739.8790 1235.9411 166.5858 -97740.9180 6440.7167 0.0000 0.0000 18026.3159 -68176.0101 309.4249 -86202.3260 -68097.8152 307.6635 273.4127 304.2645 274553.7878 10.3084 10.3102
1102500 995.9081 2774.5651 1269.8294 169.5656 -97996.2095 6589.0499 0.0000 0.0000 18024.9580 -68172.3333 309.4016 -86197.2914 -68098.4213 307.8996 349.8173 376.0778 274553.7878 49.1594 49.1579
1110000 985.3532 2725.5257 1261.0465 172.8221 -97814.8011 6510.2599 0.0000 0.0000 17984.7521 -68175.0416 308.7114 -86159.7936 -68099.5049 307.7133 218.9791 244.7409 274553.7878 47.7015 47.7011
