TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 964.3417 2770.7837 1305.4207 177.0120 -97708.9559 6289.7789 0.0000 0.0000 17959.7255 -68241.8933 308.3134 -86201.6188 -68167.5992 308.3134 -134.7177 -107.3731 273896.8299 -134.7177 -107.3731
1012500 931.0758 2738.9039 1297.7160 156.2840 -97868.7313 6506.2439 0.0000 0.0000 18002.2638 -68236.2439 309.0437 -86238.5077 -68160.5370 307.8186 628.2331 655.3137 273896.8299 71.6502 71.6507
1020000 987.3546 2789.0585 1295.7639 186.2909 -97826.1253 6400.9496 0.0000 0.0000 17932.8312 -68233.8767 307.8517 -86166.7079 -68160.3141 308.0870 132.7016 161.5334 273896.8299 55.4325 55.4336
1027500 1012.9264 2695.0565 1281.9022 170.8009 -97681.3564 6431.9454 0.0000 0.0000 17859.2360 -68229.4890 306.5883 -86088.7250 -68159.0345 307.9931 746.6863 774.9338 273896.8299 80.0051 80.0041
1035000 966.5579 2763.0798 1306.3904 170.5252 -97848.8343 6448.9539 0.0000 0.0000 17963.8562 -68229.4708 308.3843 -86193.3270 -68157.0639 307.9350 72.2201 100.6921 273896.8299 101.7665 101.7665
1042500 1012.9251 2739.3914 1293.7338 151.4489 -97985.6655 6544.7441 0.0000 0.0000 18011.9881 -68231.4341 309.2106 -86243.4222 -68157.7566 307.7433 127.2569 152.8208 273896.8299 99.5320 99.5324
1050000 987.3045 2683.6278 1308.5342 171.1652 -97651.2037 6445.9589 0.0000 0.0000 17826.9407 -68227.6724 306.0339 -86054.6131 -68153.0381 308.1134 46.9796 74.5569 273896.8299 95.9691 95.9691
1057500 970.2361 2667.6214 1284.5988 167.4900 -97824.3106 6399.4201 0.0000 0.0000 18111.4754 -68223.4687 310.9185 -86334.9441 -68149.9659 308.1331 95.6139 125.2177 273896.8299 105.7180 105.7180
1065000 995.0640 2735.2792 1240.9645 171.4697 -97623.4721 6296.5275 0.0000 0.0000 17954.6009 -68229.5663 308.2254 -86184.1672 -68153.9325 307.8207 233.0520 266.7449 273896.8299 88.8631 88.8629
1072500 979.6135 2703.0422 1275.2711 163.4224 -97798.1430 6516.0589 0.0000 0.0000 17932.7995 -68227.9353 307.8512 -86160.7348 -68153.7698 307.9581 -132.2528 -100.1546 273896.8299 85.8762 85.8763
