TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1009.3463 2708.1110 1284.0970 163.6181 -97854.9430 6410.1569 0.0000 0.0000 18136.1934 -68143.4203 311.4331 -86279.6137 -68068.3118 311.4331 357.4671 383.2233 275462.7342 357.4671 383.2233
1012500 1009.1420 2769.6557 1293.5244 186.8010 -97774.8038 6393.7504 0.0000 0.0000 17988.9930 -68132.9374 308.9054 -86121.9304 -68062.5184 307.8629 -396.7616 -365.8800 275462.7342 -36.9814 -36.9807
1020000 991.3555 2702.5649 1289.9922 154.4317 -97603.0553 6368.5596 0.0000 0.0000 17960.5834 -68135.5679 308.4176 -86096.1513 -68063.3955 307.6215 297.8655 328.1849 275462.7342 -63.5485 -63.5485
1027500 943.1633 2605.3051 1271.0036 184.9209 -97322.2308 6343.8753 0.0000 0.0000 17840.7816 -68133.1810 306.3603 -85973.9625 -68060.6446 307.5113 -194.5599 -161.9916 275462.7342 -58.3764 -58.3759
1035000 996.7371 2737.5721 1254.5844 167.7854 -97404.4989 6184.5176 0.0000 0.0000 17933.9053 -68129.3970 307.9595 -86063.3023 -68057.2980 307.6259 -340.9335 -308.0390 275462.7342 -48.6037 -48.6051
1042500 999.7321 2725.7240 1295.0855 156.2308 -97467.3347 6209.1222 0.0000 0.0000 17948.1864 -68133.2537 308.2047 -86081.4400 -68061.0501 307.9268 -67.2078 -39.8584 275462.7342 -78.6156 -78.6159
1050000 971.1361 2727.3473 1306.7436 168.4285 -97373.3679 6182.8182 0.0000 0.0000 17889.6998 -68127.1945 307.2004 -86016.8942 -68054.8254 307.5927 -575.4541 -549.1480 275462.7342 -45.5255 -45.5249
1057500 981.0896 2706.1482 1286.5186 182.5870 -97792.6751 6524.8440 0.0000 0.0000 17981.3824 -68130.1053 308.7747 -86111.4877 -68056.9417 307.6370 -523.9463 -489.9273 275462.7342 -35.0451 -35.0443
1065000 980.5872 2793.4122 1288.6870 165.3409 -97344.3461 6136.8825 0.0000 0.0000 17852.0158 -68127.4204 306.5533 -85979.4362 -68054.4233 307.8416 90.6636 124.0807 275462.7342 -45.7244 -45.7240
1072500 978.6560 2700.2315 1266.6464 175.9972 -97299.4573 6177.6133 0.0000 0.0000 17873.6153 -68126.6976 306.9242 -86000.3129 -68051.6189 307.7673 -560.0681 -525.7016 275462.7342 -27.5456 -27.5466
1080000 943.4957 2764.6929 1267.8887 177.4049 -97466.6081 6298.6894 0.0000 0.0000 17888.2061 -68126.2305 307.1747 -86014.4365 -68052.0119 307.8034 -274.2128 -247.0237 275462.7342 -15.5053 -15.5044
1087500 982.2398 2751.6063 1288.9570 184.2726 -97527.8650 6270.7667 0.0000 0.0000 17926.8773 -68123.1455 307.8388 -86050.0227 -68051.2314 307.7948 -68.7062 -41.0263 275462.7342 -44.0619 -44.0620
1095000 978.8126 2700.8060 1267.6098 176.8390 -97261.2219 6172.4876 0.0000 0.0000 17840.8924 -68123.7745 306.3622 -85964.6669 -68050.0094 308.0043 -621.1951 -582.4490 275462.7342 -12.5567 -12.5575
1102500 988.3122 2711.0357 1305.6107 155.8727 -97580.5749 6325.8840 0.0000 0.0000 17969.3089 -68124.5506 308.5674 -86093.8595 -68049.1687 307.8477 340.9150 373.0119 275462.7342 -87.1343 -87.1347
1110000 958.0019 2753.9012 1240.9760 174.2428 -97660.7544 6521.0913 0.0000 0.0000 17889.0554 -68123.4857 307.1893 -86012.5411 -68051.6287 307.9329 131.8918 159.9096 275462.7342 -34.1933 -34.1924
1117500 995.6668 2781.2355 1275.8041 168.5321 -97612.3763 6427.5704 0.0000 0.0000 17843.7123 -68119.8551 306.4107 -85963.5674 -68046.6988 307.7521 -306.4486 -272.9593 275462.7342 -20.4206 -20.4211
1125000 974.1389 2736.6103 1291.5744 181.0390 -97628.1819 6478.7440 0.0000 0.0000 17847.2125 -68118.8627 306.4708 -85966.0753 -68045.3126 308.2007 -188.2375 -159.2586 275462.7342 -55.1640 -55.1649
1132500 1005.0642 2700.7327 1269.6317 181.2749 -97523.5034 6320.0192 0.0000 0.0000 17928.8668 -68117.9140 307.8729 -86046.7808 -68044.4931 307.8836 -170.6380 -142.1160 275462.7342 -54.1931 -54.1926
1140000 993.1664 2742.3034 1288.4677 168.6589 -97864.8386 6486.8480 0.0000 0.0000 18065.0997 -68120.2946 310.2123 -86185.3943 -68044.6133 307.9350 -69.0189 -40.0413 275462.7342 -55.8005 -55.8009
1147500 1027.8907 2790.0022 1226.4750 185.9121 -97519.5010 6216.0687 0.0000 0.0000 17956.0649 -68117.0874 308.3400 -86073.1523 -68040.9673 308.1671 -191.1352 -169.4170 275462.7342 -67.2097 -67.2096
1155000 997.7544 2714.0580 1296.9672 178.8380 -97647.4450 6496.7298 0.0000 0.0000 17847.6758 -68115.4218 306.4787 -85963.0977 -68039.4017 307.9027 -349.8789 -316.3023 275462.7342 -57.1190 -57.1181
1162500 1043.5585 2716.3830 1274.8856 170.7438 -97697.4431 6322.0450 0.0000 0.0000 18056.2190 -68113.6082 310.0598 -86169.8272 -68039.3798 307.9206 -725.4124 -694.8003 275462.7342 -72.4262 -72.4270
1170000 985.4060 2764.9872 1292.5183 168.4742 -97390.2029 6126.7620 0.0000 0.0000 17940.8132 -68111.2420 308.0781 -86052.0552 -68039.6608 307.8119 -174.7943 -144.9325 275462.7342 -79.8260 -79.8244
1177500 977.9244 2729.4019 1287.7186 157.0774 -97388.6906 6294.5804 0.0000 0.0000 17830.8078 -68111.1800 306.1891 -85941.9878 -68037.3689 307.8602 253.0378 283.5147 275462.7342 -36.2795 -36.2802
1185000 983.3931 2747.2744 1260.3649 167.2073 -97663.2221 6423.8949 0.0000 0.0000 17970.8751 -68110.2123 308.5943 -86081.0874 -68038.3909 307.7533 -31.8738 7.1679 275462.7342 -35.0212 -35.0217
1192500 976.4828 2731.0130 1292.1871 175.0012 -97804.9814 6532.4752 0.0000 0.0000 17984.5703 -68113.2519 308.8295 -86097.8222 -68038.2938 307.9413 -186.7316 -154.0785 275462.7342 -45.7053 -45.7053
1200000 990.8803 2712.6548 1274.4507 170.7821 -97538.7947 6302.5925 0.0000 0.0000 17975.5454 -68111.8889 308.6745 -86087.4343 -68036.3492 308.2024 746.7490 777.6922 275462.7342 -23.6940 -23.6941
1207500 981.6824 2717.1701 1261.9342 170.6608 -97446.5781 6292.9330 0.0000 0.0000 17912.0787 -68110.1189 307.5846 -86022.1975 -68034.2574 307.9184 -6.5880 25.5490 275462.7342 -3.4098 -3.4096
1215000 994.4089 2722.7065 1245.6260 183.7781 -97588.6880 6480.0147 0.0000 0.0000 17856.2520 -68105.9018 306.6260 -85962.1538 -68032.7325 307.9799 535.6310 570.6924 275462.7342 -24.5304 -24.5307
1222500 962.3842 2676.7081 1276.7963 164.5272 -97682.8919 6599.2885 0.0000 0.0000 17898.0309 -68105.1566 307.3434 -86003.1875 -68031.5580 308.0966 -137.6012 -107.9717 275462.7342 -14.3926 -14.3925
1230000 957.8886 2716.4517 1296.4896 194.5113 -97593.4958 6419.5210 0.0000 0.0000 17898.7386 -68109.8950 307.3556 -86008.6336 -68036.0974 307.9304 -87.4645 -60.7729 275462.7342 -33.7200 -33.7209
1237500 969.1843 2721.9304 1282.7135 152.0156 -97639.5417 6496.2285 0.0000 0.0000 17905.4243 -68112.0452 307.4704 -86017.4695 -68037.0272 308.1174 903.4252 938.6196 275462.7342 -26.9628 -26.9611
1245000 953.5429 2696.3552 1280.5995 174.6781 -97507.5096 6348.5278 0.0000 0.0000 17938.9668 -68114.8393 308.0464 -86053.8060 -68039.4502 307.8315 -50.4931 -26.2407 275462.7342 -14.2229 -14.2237
1252500 1026.3017 2758.8411 1245.3667 193.6464 -97707.7403 6330.1819 0.0000 0.0000 18046.9866 -68106.4158 309.9013 -86153.4024 -68033.0737 308.2706 62.3157 91.8741 275462.7342 -27.2754 -27.2750
1260000 973.0777 2750.4465 1279.4449 161.0116 -97865.4823 6458.8094 0.0000 0.0000 18130.6037 -68112.0885 311.3371 -86242.6922 -68033.2463 308.4566 260.9948 292.4676 275462.7342 -36.5020 -36.5026
1267500 1001.5421 2726.4462 1258.5401 158.0649 -97460.7970 6249.6629 0.0000 0.0000 17962.0125 -68104.5283 308.4421 -86066.5408 -68033.7576 308.3380 153.4212 183.3657 275462.7342 -54.4689 -54.4687
1275000 1025.0762 2786.4318 1228.4477 163.2354 -97794.8231 6409.9237 0.0000 0.0000 18073.0716 -68108.6368 310.3492 -86181.7084 -68033.0957 308.1264 -231.9683 -207.4100 275462.7342 -55.8956 -55.8954
1282500 971.9777 2811.7398 1262.9979 183.0507 -97527.9940 6283.8417 0.0000 0.0000 17909.2735 -68105.1126 307.5365 -86014.3862 -68032.6389 308.5285 265.7754 296.7023 275462.7342 -54.7781 -54.7782
1290000 935.8937 2712.3518 1304.9389 169.0651 -97606.0684 6369.1851 0.0000 0.0000 18007.1278 -68107.5061 309.2168 -86114.6339 -68033.6140 308.1324 315.3977 345.8464 275462.7342 -67.7847 -67.7830
1297500 971.6497 2801.4220 1263.2582 167.0349 -97729.7538 6394.0091 0.0000 0.0000 18032.1949 -68100.1850 309.6473 -86132.3800 -68028.7004 308.0275 235.2036 268.6074 275462.7342 -47.3655 -47.3658
1305000 991.7323 2745.5530 1276.0027 175.0996 -97537.1203 6355.9959 0.0000 0.0000 17891.6129 -68101.1239 307.2332 -85992.7368 -68027.2104 308.1328 119.6180 152.6703 275462.7342 -54.7277 -54.7290
1312500 977.7493 2719.7246 1266.4932 159.1296 -97705.6203 6522.2648 0.0000 0.0000 17959.0889 -68101.1699 308.3919 -86060.2588 -68027.1953 308.2066 200.7283 231.3612 275462.7342 -45.8853 -45.8851
1320000 987.5142 2777.4836 1278.3135 160.5116 -97530.1411 6336.0353 0.0000 0.0000 17890.6020 -68099.6810 307.2158 -85990.2830 -68028.1691 308.1810 -119.0114 -84.0254 275462.7342 -55.0161 -55.0147
1327500 975.2504 2720.2378 1229.4620 167.7597 -97226.0432 6260.1029 0.0000 0.0000 17771.9694 -68101.2609 305.1787 -85873.2304 -68027.4183 308.0245 815.0887 846.3842 275462.7342 -71.8023 -71.8031
1335000 1001.6084 2749.0965 1280.3091 179.0641 -97606.6597 6348.5565 0.0000 0.0000 17947.4656 -68100.5596 308.1923 -86048.0252 -68028.9710 308.0133 524.4068 557.8881 275462.7342 -49.8294 -49.8306
1342500 962.8437 2734.8721 1279.4594 174.2216 -97719.4417 6374.1613 0.0000 0.0000 18090.2001 -68103.6835 310.6433 -86193.8837 -68027.8806 308.3473 -16.3106 11.4461 275462.7342 -40.7909 -40.7902
1350000 1017.1487 2764.3421 1289.7052 172.3150 -97636.7777 6375.6125 0.0000 0.0000 17918.7585 -68098.8957 307.6994 -86017.6542 -68027.1962 308.4030 -85.5654 -52.7278 275462.7342 -30.1641 -30.1641
1357500 988.4356 2715.2554 1253.1658 172.5322 -97517.3514 6303.1149 0.0000 0.0000 17980.1470 -68104.7005 308.7535 -86084.8476 -68027.9940 308.1545 81.0525 108.4737 275462.7342 -41.0818 -41.0815
1365000 1001.2792 2797.9907 1254.9613 175.5052 -97670.4648 6295.8080 0.0000 0.0000 18041.7683 -68103.1522 309.8117 -86144.9205 -68028.5659 308.4240 5.1955 32.4633 275462.7342 -65.0103 -65.0102
1372500 951.0273 2808.1201 1300.1147 158.6935 -97353.4802 6140.3155 0.0000 0.0000 17896.6044 -68098.6046 307.3189 -85995.2090 -68024.4956 308.3323 207.3411 238.8902 275462.7342 -31.5468 -31.5462
1380000 979.3506 2774.0757 1267.7388 170.8452 -97589.3516 6312.8013 0.0000 0.0000 17985.9116 -68098.6284 308.8525 -86084.5400 -68027.1126 308.0258 -104.5725 -76.2037 275462.7342 -17.1900 -17.1913
