TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 986.2253 2833.5699 1278.9961 165.3672 -97477.6093 6245.2268 0.0000 0.0000 18218.7411 -67749.4829 312.8186 -85968.2240 -67674.0539 312.8186 -109.2153 -78.9820 273952.1282 -109.2153 -78.9820
1012500 974.9442 2754.7194 1282.1622 183.0893 -97306.0789 6335.3094 0.0000 0.0000 18028.6746 -67747.1798 309.5551 -85775.8544 -67671.2198 310.4473 1391.2848 1424.6682 273952.1282 90.5845 90.5849
1020000 1045.7640 2692.0836 1290.4395 167.5491 -97154.9858 6244.5464 0.0000 0.0000 17971.0879 -67743.5153 308.5664 -85714.6031 -67667.8696 310.5484 -965.4428 -933.3161 273952.1282 116.5696 116.5688
1027500 980.9283 2822.2132 1278.6700 167.8526 -97386.0670 6257.0380 0.0000 0.0000 18139.6234 -67739.7413 311.4601 -85879.3648 -67667.2371 310.6331 -457.7863 -428.1942 273952.1282 79.3056 79.3044
1035000 991.3520 2749.1507 1249.6937 171.8033 -97161.6434 6253.9399 0.0000 0.0000 18005.8051 -67739.8987 309.1625 -85745.7038 -67665.8900 310.5029 -47.5406 -19.0076 273952.1282 116.7595 116.7592
1042500 1000.5258 2718.3818 1288.3235 158.5979 -97147.1173 6113.2117 0.0000 0.0000 18125.1373 -67742.9393 311.2114 -85868.0766 -67668.3254 310.2813 -73.5824 -42.5001 273952.1282 116.8891 116.8902
1050000 1006.8932 2784.1175 1275.5084 172.2887 -97570.0875 6364.9107 0.0000 0.0000 18224.9940 -67741.3750 312.9260 -85966.3690 -67664.8097 310.6072 -75.2533 -48.2540 273952.1282 109.2811 109.2807
1057500 1028.5743 2761.4945 1266.7626 169.0093 -97416.0488 6398.8839 0.0000 0.0000 18053.2510 -67738.0732 309.9771 -85791.3242 -67663.1807 310.8885 204.0678 234.1393 273952.1282 112.0053 112.0063
1065000 945.6713 2798.7952 1314.4112 169.0489 -97479.3366 6533.5586 0.0000 0.0000 17978.0939 -67739.7574 308.6867 -85717.8513 -67662.5939 310.6679 879.7149 907.7843 273952.1282 84.1519 84.1489
1072500 1004.5041 2833.8002 1247.5168 171.0981 -97186.8161 6122.8082 0.0000 0.0000 18072.8463 -67734.2424 310.3136 -85807.0887 -67659.6661 310.7635 423.4544 446.9933 273952.1282 94.3507 94.3517
1080000 1000.9282 2751.5861 1289.2906 197.3076 -97145.4968 6110.1907 0.0000 0.0000 18059.9622 -67736.2314 310.0923 -85796.1936 -67663.2610 310.7715 -459.6049 -430.9884 273952.1282 120.9547 120.9571
1087500 958.4560 2726.4478 1226.2573 167.2944 -97308.1672 6344.0006 0.0000 0.0000 18149.2001 -67736.5110 311.6246 -85885.7111 -67660.4224 310.8016 98.6893 136.0832 273952.1282 104.9186 104.9184
1095000 950.7855 2769.6493 1289.6165 180.3090 -97313.7547 6349.0737 0.0000 0.0000 18038.6540 -67735.6666 309.7265 -85774.3206 -67662.2241 310.3567 87.8935 121.2784 273952.1282 86.4028 86.4024
1102500 979.8599 2750.1314 1300.6268 154.7895 -97611.4912 6612.3187 0.0000 0.0000 18081.4323 -67732.3326 310.4610 -85813.7649 -67660.1984 310.4018 715.5771 745.0003 273952.1282 97.1891 97.1888
1110000 974.9425 2732.0767 1297.7111 160.8474 -97498.0880 6463.7630 0.0000 0.0000 18135.7687 -67732.9786 311.3940 -85868.7473 -67656.9337 310.6120 -72.4816 -40.4385 273952.1282 107.5915 107.5927
1117500 962.7111 2778.0010 1288.0955 175.3580 -97057.8572 6109.7032 0.0000 0.0000 18011.0307 -67732.9577 309.2522 -85743.9884 -67660.0657 310.5028 272.2452 303.7697 273952.1282 130.6024 130.6009
1125000 949.4344 2776.4211 1294.0045 158.0682 -97452.9622 6430.2085 0.0000 0.0000 18109.7849 -67735.0406 310.9478 -85844.8255 -67661.0772 310.4848 931.0508 962.9506 273952.1282 110.9295 110.9315
1132500 995.9547 2745.5100 1294.9940 156.0897 -97315.2369 6275.7167 0.0000 0.0000 18111.5893 -67735.3825 310.9788 -85846.9718 -67659.3508 310.5565 306.8560 339.6189 273952.1282 142.5412 142.5400
1140000 983.8779 2806.0724 1289.3790 154.6117 -97372.2179 6339.8770 0.0000 0.0000 18063.6218 -67734.7782 310.1552 -85798.4000 -67658.6511 310.7908 141.6987 167.0087 273952.1282 123.9957 123.9944
1147500 995.7735 2739.1388 1262.4713 174.1140 -97512.5087 6377.3733 0.0000 0.0000 18231.7043 -67731.9337 313.0412 -85963.6379 -67657.4834 310.5615 -125.7052 -99.0170 273952.1282 134.2284 134.2296
1155000 993.5650 2768.6081 1275.7158 170.6970 -97636.2937 6451.6345 0.0000 0.0000 18239.9084 -67736.1649 313.1820 -85976.0733 -67659.7982 310.8395 58.4231 86.4734 273952.1282 132.6101 132.6098
1162500 975.9180 2738.4519 1292.5212 189.5489 -97783.4498 6643.6982 0.0000 0.0000 18213.1107 -67730.2009 312.7219 -85943.3116 -67655.7076 310.9015 897.8397 928.0256 273952.1282 146.0011 146.0017
1170000 979.7264 2717.1903 1274.2744 183.8880 -97373.9748 6374.6268 0.0000 0.0000 18113.4269 -67730.8419 311.0103 -85844.2689 -67655.1264 310.7376 70.7322 99.5735 273952.1282 134.7894 134.7882
1177500 993.5928 2711.0590 1274.6365 171.6845 -97135.7822 6252.1536 0.0000 0.0000 18003.5786 -67729.0772 309.1242 -85732.6558 -67655.4523 310.6320 -344.0535 -312.8757 273952.1282 114.9059 114.9082
1185000 979.0786 2754.3380 1296.1956 178.0236 -97331.2283 6292.6308 0.0000 0.0000 18098.1966 -67732.7651 310.7488 -85830.9616 -67655.6595 310.3973 119.1696 154.4601 273952.1282 89.4558 89.4550
1192500 959.2026 2754.6067 1267.6401 171.8873 -97406.2356 6336.6446 0.0000 0.0000 18187.2634 -67728.9909 312.2781 -85916.2544 -67654.7427 310.6670 381.3428 406.3688 273952.1282 107.4919 107.4901
1200000 977.9044 2774.8553 1278.3728 172.9059 -97286.1162 6195.9013 0.0000 0.0000 18158.4905 -67727.6861 311.7841 -85886.1765 -67656.0124 310.6177 6.7339 35.9957 273952.1282 120.0349 120.0362
1207500 1010.6456 2689.3973 1275.7520 158.1699 -97315.7163 6316.3608 0.0000 0.0000 18138.8531 -67726.5378 311.4469 -85865.3908 -67652.5598 310.4748 291.5058 316.1603 273952.1282 95.2638 95.2633
1215000 1012.2925 2723.1958 1287.8903 171.1419 -97481.7026 6452.9226 0.0000 0.0000 18105.9945 -67728.2650 310.8827 -85834.2595 -67655.1274 310.6623 335.5048 373.7611 273952.1282 116.5766 116.5779
1222500 1008.5416 2789.6162 1258.3319 175.0434 -97466.3968 6426.4037 0.0000 0.0000 18078.7297 -67729.7303 310.4146 -85808.4600 -67654.2510 310.5608 -204.1333 -174.0322 273952.1282 117.8776 117.8772
1230000 1024.7634 2741.5423 1267.1430 170.2962 -97282.9775 6222.9770 0.0000 0.0000 18129.1938 -67727.0617 311.2811 -85856.2555 -67651.9079 310.6728 -43.3158 -13.8062 273952.1282 163.7890 163.7881
1237500 1010.8084 2723.1913 1285.5420 164.8327 -97460.7064 6366.5734 0.0000 0.0000 18184.3454 -67725.4131 312.2280 -85909.7586 -67649.6562 310.9731 141.9267 173.5653 273952.1282 171.1643 171.1642
1245000 953.6323 2722.5939 1291.9260 166.6925 -97356.5614 6395.5511 0.0000 0.0000 18102.0068 -67724.1588 310.8143 -85826.1656 -67648.6141 310.8181 318.5567 354.0849 273952.1282 143.8228 143.8239
1252500 968.4638 2665.5561 1257.9876 165.7683 -97199.7900 6428.1540 0.0000 0.0000 17991.9651 -67721.8950 308.9248 -85713.8601 -67647.5132 310.5213 279.0999 314.3380 273952.1282 115.3778 115.3777
1260000 1003.4786 2780.0143 1288.1276 174.5453 -97120.5455 6127.3030 0.0000 0.0000 18024.7331 -67722.3435 309.4875 -85747.0767 -67646.9709 310.9448 843.5873 875.7978 273952.1282 116.7266 116.7273
1267500 983.9971 2737.9169 1306.3919 170.5405 -97351.8855 6312.8584 0.0000 0.0000 18116.8374 -67723.3433 311.0689 -85840.1807 -67649.0804 310.7721 476.7102 500.0024 273952.1282 129.8372 129.8355
1275000 979.0395 2710.8408 1255.5389 184.0934 -97393.9478 6348.2747 0.0000 0.0000 18191.8331 -67724.3275 312.3566 -85916.1605 -67649.8142 310.8981 -56.1254 -23.4339 273952.1282 144.4779 144.4783
1282500 990.7243 2750.1341 1265.0149 183.0720 -97697.0197 6606.2487 0.0000 0.0000 18183.7768 -67718.0487 312.2183 -85901.8255 -67644.9076 310.7126 537.5360 571.9078 273952.1282 98.8134 98.8141
1290000 994.1526 2814.0486 1260.0358 150.4760 -97466.6798 6355.1102 0.0000 0.0000 18175.6611 -67717.1956 312.0789 -85892.8567 -67645.3684 310.9515 -159.7514 -128.8663 273952.1282 124.0705 124.0694
1297500 991.4042 2797.7888 1261.9233 177.6999 -97294.9586 6277.3315 0.0000 0.0000 18071.8211 -67716.9898 310.2960 -85788.8109 -67643.9769 311.0428 458.9156 493.9423 273952.1282 103.0684 103.0686
1305000 1003.6468 2798.6500 1285.9140 171.3775 -97570.0935 6491.6802 0.0000 0.0000 18101.7543 -67717.0708 310.8099 -85818.8251 -67643.5917 310.8050 251.7351 283.4001 273952.1282 120.4667 120.4672
1312500 989.6983 2711.7412 1301.2777 178.6051 -97435.0005 6310.5103 0.0000 0.0000 18226.0126 -67717.1552 312.9435 -85943.1678 -67643.9138 310.7394 166.1852 193.3867 273952.1282 153.5821 153.5807
1320000 1051.4528 2758.6708 1283.1129 177.0013 -97398.0348 6249.5115 0.0000 0.0000 18160.1780 -67718.1076 311.8131 -85878.2856 -67641.6761 310.9829 341.0000 367.9761 273952.1282 115.5804 115.5806
1327500 1054.3270 2691.5046 1266.9448 163.3311 -97567.5043 6538.8633 0.0000 0.0000 18137.3711 -67715.1623 311.4215 -85852.5334 -67639.9352 311.0000 -138.3967 -108.2598 273952.1282 85.4455 85.4459
1335000 1001.8085 2667.5685 1295.2666 155.5257 -97064.8527 6173.2401 0.0000 0.0000 18054.8301 -67716.6132 310.0042 -85771.4433 -67640.9256 310.8448 325.5521 351.7074 273952.1282 120.6673 120.6676
1342500 973.1637 2801.6577 1302.7790 169.3361 -97532.0362 6515.1412 0.0000 0.0000 18057.3228 -67712.6357 310.0470 -85769.9585 -67641.1723 310.7509 515.4173 551.1498 273952.1282 132.3070 132.3067
1350000 988.8075 2767.2624 1254.4413 155.2343 -97269.9008 6388.2223 0.0000 0.0000 18001.1908 -67714.7422 309.0832 -85715.9330 -67639.9595 310.4776 143.2917 166.2816 273952.1282 128.8450 128.8459
1357500 961.9100 2766.3247 1255.7620 172.0766 -97167.5033 6144.4918 0.0000 0.0000 18155.2686 -67711.6696 311.7288 -85866.9382 -67638.6537 310.8337 -15.9377 11.2710 273952.1282 131.3829 131.3831
1365000 989.7101 2783.2590 1281.9032 169.2262 -97131.6701 6222.2194 0.0000 0.0000 17973.0324 -67712.3198 308.5997 -85685.3522 -67640.8073 310.8916 60.5552 87.2284 273952.1282 144.3066 144.3052
1372500 947.0316 2752.3513 1316.2871 186.3264 -97523.6163 6444.2893 0.0000 0.0000 18162.2243 -67715.1063 311.8482 -85877.3305 -67640.4581 310.8609 665.8558 693.0361 273952.1282 154.0506 154.0515
1380000 1020.7194 2717.5218 1278.1954 164.3722 -97337.7117 6366.6403 0.0000 0.0000 18074.9415 -67715.3211 310.3495 -85790.2626 -67639.2061 310.8951 368.3113 405.4882 273952.1282 136.4740 136.4742
