TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 993.6971 2773.3239 1270.1118 178.5275 -97430.0333 6251.2313 0.0000 0.0000 18111.2663 -67851.8753 311.0316 -85963.1416 -67777.6483 311.0316 20.2611 54.6795 274512.7279 20.2611 54.6795
1012500 995.3515 2755.3053 1266.9610 158.0134 -97177.4348 6181.0311 0.0000 0.0000 17981.5597 -67839.2128 308.8041 -85820.7725 -67766.7656 310.0409 311.1951 341.0375 274512.7279 42.1856 42.1861
1020000 992.7437 2774.5814 1288.7773 189.5776 -97550.7729 6293.5154 0.0000 0.0000 18167.9239 -67843.6536 312.0046 -86011.5775 -67767.5396 310.2295 -369.7097 -337.9088 274512.7279 31.9826 31.9813
1027500 1013.5451 2769.8128 1314.8631 164.6688 -97447.6171 6416.3162 0.0000 0.0000 17929.5376 -67838.8735 307.9107 -85768.4112 -67766.6089 309.9375 -268.6619 -243.0062 274512.7279 31.0885 31.0889
1035000 1042.5936 2751.6460 1281.4096 182.1621 -97514.7328 6339.4248 0.0000 0.0000 18081.2337 -67836.2631 310.5159 -85917.4968 -67762.7997 310.1856 5.5264 36.0042 274512.7279 64.8039 64.8046
1042500 965.5955 2727.7395 1278.7429 170.3524 -97182.0426 6272.5259 0.0000 0.0000 17935.3540 -67831.7324 308.0106 -85767.0864 -67760.1991 310.2115 416.0612 447.0204 274512.7279 32.9681 32.9657
1050000 993.9649 2735.0321 1290.2791 165.4967 -97152.0609 6296.6560 0.0000 0.0000 17838.2568 -67832.3752 306.3431 -85670.6320 -67761.3161 309.8854 -26.3998 7.5436 274512.7279 89.0341 89.0359
1057500 1011.0589 2647.9741 1307.1622 176.0830 -97429.8852 6378.2143 0.0000 0.0000 18073.9038 -67835.4890 310.3900 -85909.3928 -67758.1578 310.1953 534.0010 565.9428 274512.7279 101.2932 101.2941
1065000 1003.9903 2767.4264 1301.3199 174.0332 -97373.3565 6229.4453 0.0000 0.0000 18063.7595 -67833.3818 310.2158 -85897.1414 -67759.6821 309.9945 141.2089 165.6462 274512.7279 51.3171 51.3153
1072500 1045.9683 2749.9133 1266.3664 154.0446 -97438.0259 6420.3471 0.0000 0.0000 17970.8583 -67830.5279 308.6203 -85801.3862 -67756.8707 310.3071 -663.9072 -624.1251 274512.7279 65.6249 65.6260
1080000 975.9701 2686.5691 1264.9791 156.5001 -97438.2296 6358.5666 0.0000 0.0000 18163.4506 -67832.1941 311.9278 -85995.6447 -67758.5085 310.1384 29.8660 58.0622 274512.7279 69.1352 69.1356
1087500 963.3937 2745.1690 1239.1215 160.7756 -97501.3689 6364.5735 0.0000 0.0000 18194.0217 -67834.3139 312.4528 -86028.3356 -67757.4189 310.0403 122.9517 155.0771 274512.7279 68.3506 68.3494
1095000 1022.9295 2757.8531 1288.7260 165.2305 -97517.3584 6428.3213 0.0000 0.0000 18027.5192 -67826.7787 309.5934 -85854.2979 -67753.5423 310.0478 -109.9074 -80.0235 274512.7279 63.6401 63.6404
1102500 991.8749 2707.7127 1302.2703 175.9899 -97351.6693 6284.5243 0.0000 0.0000 18058.6967 -67830.6005 310.1288 -85889.2972 -67757.1729 310.0918 0.7524 27.5552 274512.7279 64.6860 64.6851
