TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1034.5528 2803.3647 1298.7765 163.5958 -97567.0967 6443.6773 0.0000 0.0000 18141.1956 -67681.9340 311.4659 -85823.1296 -67605.9242 311.4659 537.7148 558.8295 275774.3256 537.7148 558.8295
1012500 1044.1486 2776.4628 1237.1541 162.3194 -97409.9343 6596.2735 0.0000 0.0000 17919.1993 -67674.3766 307.6544 -85593.5759 -67602.0341 309.8630 213.2228 241.0997 275774.3256 -9.0043 -9.0030
1020000 963.2235 2678.5867 1300.9118 160.7199 -96991.9784 6288.1592 0.0000 0.0000 17926.4180 -67673.9593 307.7784 -85600.3773 -67600.3727 309.8577 -381.0764 -348.0502 275774.3256 -33.1864 -33.1854
1027500 1003.1930 2665.1806 1289.3119 162.8978 -97273.6615 6425.6200 0.0000 0.0000 18051.6721 -67675.7860 309.9289 -85727.4582 -67600.8302 309.8999 457.4825 489.6073 275774.3256 -16.5644 -16.5652
1035000 957.5689 2708.8037 1279.2272 168.2057 -97306.3315 6419.6781 0.0000 0.0000 18094.8882 -67677.9598 310.6708 -85772.8480 -67600.3773 309.8282 358.0470 391.2838 275774.3256 -4.1779 -4.1771
1042500 965.6452 2730.9681 1277.0508 160.5312 -97327.0485 6428.7619 0.0000 0.0000 18094.3315 -67669.7599 310.6613 -85764.0913 -67597.2071 309.7549 633.2548 658.9921 275774.3256 -5.3481 -5.3491
1050000 1002.7952 2638.8134 1274.9338 158.5290 -97390.2162 6604.5545 0.0000 0.0000 18038.9625 -67671.6278 309.7106 -85710.5903 -67595.5762 309.9145 418.3771 446.1132 275774.3256 -7.7258 -7.7268
1057500 972.1260 2810.9018 1248.2225 152.8403 -97057.0759 6187.5968 0.0000 0.0000 18015.3036 -67670.0850 309.3044 -85685.3886 -67595.6387 309.8328 -64.4307 -34.3209 275774.3256 -20.3524 -20.3509
1065000 954.9695 2791.4660 1274.1031 186.5238 -97186.8654 6242.8504 0.0000 0.0000 18065.3890 -67671.5637 310.1644 -85736.9526 -67595.0144 309.9640 30.8634 63.9462 275774.3256 -35.5535 -35.5537
1072500 1031.2608 2711.0389 1285.4903 175.2670 -97074.4963 6179.7763 0.0000 0.0000 18024.3765 -67667.2865 309.4602 -85691.6630 -67592.3366 309.8954 -961.5749 -931.5594 275774.3256 -73.4076 -73.4079
1080000 945.4764 2790.7139 1276.8275 166.0988 -97382.2786 6426.7206 0.0000 0.0000 18108.3320 -67668.1095 310.9016 -85776.4415 -67595.7286 309.8843 -779.4216 -742.9976 275774.3256 3.8987 3.8996
1087500 984.7468 2723.4427 1245.2353 175.2692 -97017.8738 6171.6284 0.0000 0.0000 18049.5009 -67668.0504 309.8916 -85717.5514 -67594.2805 309.8702 3.3193 35.8940 275774.3256 -17.8261 -17.8267
1095000 988.0088 2784.0367 1308.0619 197.3959 -97506.0868 6594.9183 0.0000 0.0000 17965.8284 -67667.8369 308.4550 -85633.6653 -67596.1183 309.8495 -339.8997 -310.2717 275774.3256 -1.8245 -1.8252
1102500 961.9085 2718.4580 1280.1484 161.5575 -97342.1150 6410.7429 0.0000 0.0000 18144.9420 -67664.3577 311.5302 -85809.2997 -67590.4390 309.9232 318.4837 344.4714 275774.3256 -13.9352 -13.9346
1110000 1017.0068 2811.4910 1282.6875 177.0865 -97132.1657 6124.0546 0.0000 0.0000 18056.1656 -67663.6738 310.0060 -85719.8394 -67591.3923 310.0290 -327.9424 -294.2483 275774.3256 12.5020 12.5028
1117500 956.4469 2848.8077 1289.7500 180.9116 -97040.5982 6119.1598 0.0000 0.0000 17984.2490 -67661.2732 308.7713 -85645.5222 -67586.8707 310.0908 -572.3510 -541.6698 275774.3256 -28.3975 -28.3979
1125000 970.7343 2729.4213 1288.5073 156.6116 -97353.3071 6329.6591 0.0000 0.0000 18211.2378 -67667.1357 312.6684 -85878.3735 -67590.6177 309.7905 291.9200 315.8109 275774.3256 -47.1651 -47.1663
1132500 934.3948 2769.2109 1307.0900 175.4157 -97585.8551 6552.4737 0.0000 0.0000 18183.8125 -67663.4575 312.1976 -85847.2700 -67588.9225 310.2100 358.0947 392.2566 275774.3256 -42.7020 -42.7004
1140000 1017.3334 2746.2972 1303.6050 183.2898 -97135.2612 6181.6050 0.0000 0.0000 18042.5110 -67660.6198 309.7716 -85703.1308 -67585.8951 310.2713 -65.4092 -35.6116 275774.3256 -7.2514 -7.2517
1147500 1027.6277 2752.3237 1283.5704 150.5328 -97216.0234 6308.2273 0.0000 0.0000 18036.4224 -67657.3193 309.6670 -85693.7417 -67584.9538 309.9489 -149.3860 -122.6148 275774.3256 -21.1569 -21.1576
1155000 1011.3325 2678.0916 1280.6169 161.0870 -97412.8236 6433.4685 0.0000 0.0000 18187.5988 -67660.6284 312.2626 -85848.2272 -67587.0651 309.8227 -270.8482 -244.1556 275774.3256 -37.5603 -37.5603
1162500 1007.6136 2807.0659 1302.6182 178.5427 -97354.1777 6381.9701 0.0000 0.0000 18017.7926 -67658.5747 309.3472 -85676.3673 -67587.1609 309.9313 373.3134 399.9951 275774.3256 0.1888 0.1881
1170000 994.7376 2825.5012 1280.0459 157.7409 -97329.6308 6465.1300 0.0000 0.0000 17951.4278 -67655.0475 308.2078 -85606.4752 -67585.6206 309.9261 591.9864 622.1459 275774.3256 -45.2178 -45.2168
1177500 1004.9726 2694.6815 1281.5292 168.4175 -97239.8685 6254.0772 0.0000 0.0000 18175.7463 -67660.4441 312.0591 -85836.1905 -67585.4843 309.9142 -12.3303 18.7724 275774.3256 9.8833 9.8832
1185000 994.6648 2750.6933 1287.0090 164.0825 -97290.2928 6274.7224 0.0000 0.0000 18159.8985 -67659.2223 311.7870 -85819.1207 -67584.4160 310.0989 81.6100 104.8279 275774.3256 -31.1137 -31.1140
1192500 946.6360 2728.2573 1302.3715 178.6997 -97266.9228 6340.4724 0.0000 0.0000 18109.7918 -67660.6942 310.9267 -85770.4859 -67585.3681 310.3951 410.9609 437.6628 275774.3256 1.4651 1.4655
1200000 991.0525 2703.1360 1287.9780 160.5439 -97006.2173 6250.0358 0.0000 0.0000 17955.5297 -67657.9414 308.2782 -85613.4711 -67585.0422 310.0411 360.5191 396.8808 275774.3256 -18.7573 -18.7564
