TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1015.5463 2788.5952 1275.5516 170.0227 -97313.6756 6238.8720 0.0000 0.0000 18081.6059 -67743.4818 310.3740 -85825.0877 -67669.3345 310.3740 -575.8196 -550.1320 274474.3171 -575.8196 -550.1320
1012500 997.0300 2721.2044 1291.1414 187.6438 -97769.1285 6720.1306 0.0000 0.0000 18119.0595 -67732.9188 311.0169 -85851.9783 -67659.3595 310.3110 584.7856 617.0582 274474.3171 96.3228 96.3225
1020000 1000.6517 2703.3417 1279.1340 170.8493 -97081.9174 6201.0218 0.0000 0.0000 17997.3536 -67729.5653 308.9277 -85726.9189 -67658.0814 310.3085 -586.4864 -560.9783 274474.3171 94.4491 94.4488
1027500 1009.0554 2866.5761 1295.3414 156.6414 -97448.4489 6367.4459 0.0000 0.0000 18021.5608 -67731.8279 309.3433 -85753.3887 -67660.8822 310.5505 128.0810 162.8785 274474.3171 103.8609 103.8620
1035000 950.1777 2739.1603 1296.9872 180.4113 -97369.9795 6384.2809 0.0000 0.0000 18086.3840 -67732.5782 310.4560 -85818.9621 -67657.1680 310.2631 368.6967 395.3301 274474.3171 98.6110 98.6097
1042500 1016.3461 2713.7342 1244.5194 165.4265 -97396.6476 6333.7558 0.0000 0.0000 18189.9081 -67732.9574 312.2330 -85922.8655 -67659.7969 310.1044 -171.7873 -144.3773 274474.3171 112.0483 112.0493
1050000 994.1949 2676.0042 1308.7976 180.5405 -97512.7404 6410.7674 0.0000 0.0000 18210.0561 -67732.3797 312.5788 -85942.4358 -67655.5387 310.4086 -17.3519 15.7572 274474.3171 101.8217 101.8219
1057500 994.1924 2793.7679 1274.1725 190.9294 -97247.5062 6172.1096 0.0000 0.0000 18092.9518 -67729.3827 310.5687 -85822.3345 -67656.4319 310.3800 -79.4464 -54.5626 274474.3171 71.8303 71.8300
1065000 999.9913 2766.8305 1278.9892 160.9676 -97505.9190 6344.3913 0.0000 0.0000 18224.9419 -67729.8072 312.8343 -85954.7491 -67654.0544 310.7029 -393.0284 -363.3194 274474.3171 110.7586 110.7570
1072500 1022.8641 2788.9740 1307.9849 165.7057 -97429.4122 6204.3714 0.0000 0.0000 18212.3727 -67727.1394 312.6186 -85939.5121 -67652.4311 310.5033 -796.5135 -771.5848 274474.3171 100.2737 100.2757
1080000 1020.3429 2808.9944 1299.7086 186.7291 -97503.3410 6496.8633 0.0000 0.0000 17966.0580 -67724.6447 308.3906 -85690.7028 -67651.2494 310.5169 -55.4205 -22.5971 274474.3171 91.7956 91.7960
1087500 950.8213 2765.4115 1281.1642 170.9158 -97438.9717 6309.9600 0.0000 0.0000 18236.1698 -67724.5291 313.0271 -85960.6989 -67649.3915 310.6123 117.3549 149.1768 274474.3171 111.7472 111.7463
1095000 1007.7887 2738.2326 1296.3692 174.2755 -97373.5145 6516.9986 0.0000 0.0000 17917.4149 -67722.4351 307.5556 -85639.8499 -67648.2957 310.5154 415.8694 445.5348 274474.3171 120.3531 120.3540
1102500 972.5655 2774.0881 1304.4671 176.2773 -97429.5678 6441.6341 0.0000 0.0000 18042.4879 -67718.0479 309.7025 -85760.5357 -67647.2018 310.6259 -368.5360 -343.0320 274474.3171 100.2727 100.2712
1110000 963.7920 2712.4146 1301.8678 173.0394 -97049.9783 6123.8697 0.0000 0.0000 18051.9078 -67723.0870 309.8642 -85774.9949 -67645.7703 310.4076 -338.2775 -317.4081 274474.3171 91.8478 91.8475
1117500 999.5250 2763.6522 1248.3729 190.8751 -96991.0248 6270.9646 0.0000 0.0000 17803.8526 -67713.7824 305.6063 -85517.6350 -67640.5671 310.5733 -51.7126 -19.0254 274474.3171 97.8831 97.8845
1125000 971.3349 2705.8520 1275.4052 183.2802 -97064.1191 6135.8455 0.0000 0.0000 18076.5729 -67715.8284 310.2876 -85792.4014 -67642.9494 310.4421 -409.4082 -384.0985 274474.3171 57.0050 57.0045
1132500 1004.0167 2753.6710 1275.6389 158.1084 -97312.9103 6269.9109 0.0000 0.0000 18133.7621 -67717.8023 311.2692 -85851.5644 -67640.8916 310.5949 -349.1512 -321.6624 274474.3171 90.3612 90.3608
1140000 1031.3707 2781.6969 1272.3589 178.3634 -97312.3230 6201.7006 0.0000 0.0000 18136.7290 -67710.1034 311.3202 -85846.8324 -67637.5950 310.7628 186.8309 221.2897 274474.3171 79.7056 79.7066
