TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1024.9624 2871.3110 1317.3461 164.6722 -97220.2582 6187.0985 0.0000 0.0000 17958.5192 -67696.3488 308.2927 -85654.8680 -67619.3424 308.2927 -312.5615 -276.4412 276127.3081 -312.5615 -276.4412
1012500 1025.4057 2742.4448 1288.1354 166.6692 -97136.6525 6052.5436 0.0000 0.0000 18169.0742 -67692.3795 311.9073 -85861.4538 -67616.9061 310.3875 314.3146 344.6277 276127.3081 -30.2069 -30.2073
1020000 957.3700 2748.5517 1289.4455 176.1912 -97021.3458 6019.4431 0.0000 0.0000 18137.9558 -67692.3885 311.3731 -85830.3443 -67618.8403 310.1781 -370.5772 -335.2517 276127.3081 -62.0241 -62.0235
1027500 986.1786 2767.8911 1262.2549 167.4762 -97228.8179 6248.5512 0.0000 0.0000 18104.9727 -67691.4931 310.8069 -85796.4659 -67618.3143 310.0790 607.6219 638.7378 276127.3081 -38.5230 -38.5236
1035000 1030.1796 2755.7552 1280.6562 174.1989 -97140.9591 6209.3846 0.0000 0.0000 18005.6898 -67685.0948 309.1025 -85690.7846 -67615.6781 310.2794 -220.1861 -191.5209 276127.3081 -52.2427 -52.2433
1042500 1015.6074 2785.3271 1310.3442 186.5859 -97448.0398 6411.0684 0.0000 0.0000 18051.7789 -67687.3279 309.8937 -85739.1068 -67615.0271 310.6292 393.7574 420.6231 276127.3081 -70.6293 -70.6283
1050000 1000.1790 2703.5079 1356.4573 179.7560 -97136.2270 6170.6435 0.0000 0.0000 18038.2334 -67687.4500 309.6611 -85725.6834 -67612.2813 310.4408 -490.3670 -462.1908 276127.3081 -69.4113 -69.4107
1057500 949.2285 2765.8253 1296.6053 159.3646 -97086.1696 6220.4391 0.0000 0.0000 18011.7547 -67682.9522 309.2066 -85694.7068 -67609.8471 310.1923 199.9544 235.8857 276127.3081 -45.4853 -45.4863
1065000 1065.1364 2742.5845 1276.8472 176.0025 -97333.0657 6389.9167 0.0000 0.0000 17998.3749 -67684.2034 308.9769 -85682.5784 -67609.0229 310.2200 -306.1159 -272.9252 276127.3081 -77.2750 -77.2740
1072500 982.8076 2730.4727 1317.6735 173.4858 -97066.1623 6126.1289 0.0000 0.0000 18055.8989 -67679.6950 309.9644 -85735.5938 -67606.1078 310.3973 -442.2307 -409.2837 276127.3081 -88.5923 -88.5945
1080000 981.2830 2738.9123 1303.0063 163.3671 -97173.8389 6242.9494 0.0000 0.0000 18063.3703 -67680.9505 310.0927 -85744.3208 -67606.1304 310.4066 51.7198 76.5520 276127.3081 -56.3718 -56.3710
1087500 997.4215 2723.6722 1288.4643 174.3199 -97566.5676 6425.5438 0.0000 0.0000 18277.2544 -67679.8916 313.7644 -85957.1460 -67605.2973 310.3878 -69.6526 -48.0629 276127.3081 -50.3484 -50.3481
1095000 981.4251 2790.6641 1293.8967 183.5393 -97371.6953 6410.4388 0.0000 0.0000 18035.3787 -67676.3527 309.6121 -85711.7313 -67603.4970 310.3568 498.2293 530.2019 276127.3081 -40.4291 -40.4286
1102500 985.9930 2674.7914 1320.8764 183.8722 -97290.7985 6440.1194 0.0000 0.0000 18002.4869 -67682.6592 309.0475 -85685.1461 -67606.1310 310.2710 -268.8992 -237.8091 276127.3081 -34.8447 -34.8445
1110000 999.8664 2721.6233 1296.2802 165.6012 -97238.3056 6286.5012 0.0000 0.0000 18092.0091 -67676.4242 310.5843 -85768.4332 -67601.4917 310.4812 -474.3389 -444.0837 276127.3081 -48.8267 -48.8267
1117500 974.6163 2730.2804 1336.7210 157.5001 -97130.0967 6142.2980 0.0000 0.0000 18105.7358 -67682.9451 310.8200 -85788.6809 -67605.4187 310.4507 -531.1188 -505.8684 276127.3081 -91.0537 -91.0547
1125000 985.3113 2695.8676 1315.9924 172.2346 -96972.3132 6093.5147 0.0000 0.0000 18032.2211 -67677.1714 309.5579 -85709.3925 -67602.6074 310.4477 -339.0907 -307.8063 276127.3081 -53.1506 -53.1501
1132500 977.5746 2796.0213 1302.2548 178.6370 -97710.8544 6585.9587 0.0000 0.0000 18191.8972 -67678.5109 312.2991 -85870.4081 -67604.8169 311.0130 -287.4818 -265.1916 276127.3081 -56.5013 -56.5017
1140000 1027.9258 2765.4910 1305.3321 172.4126 -97277.4381 6315.1450 0.0000 0.0000 18015.1949 -67675.9367 309.2656 -85691.1316 -67602.4300 310.6595 357.3162 383.7640 276127.3081 -69.6602 -69.6597
1147500 979.9653 2710.9986 1287.9765 178.1080 -97039.3654 6217.3289 0.0000 0.0000 17986.1963 -67678.7917 308.7678 -85664.9880 -67605.0695 310.7328 -92.4959 -62.6110 276127.3081 -66.7193 -66.7186
