TS BOND ANGLE DIHED IMPRP ELECT VDW BOUNDARY MISC KINETIC TOTAL TEMP POTENTIAL TOTAL3 TEMPAVG PRESSURE GPRESSURE VOLUME PRESSAVG GPRESSAVG
1005000 1061.4637 2814.8420 1343.3435 191.9995 -97666.8642 6330.4358 0.0000 0.0000 17857.7565 -68067.0234 306.6518 -85924.7799 -67990.2762 306.6518 -751.7706 -723.4073 275757.7692 -751.7706 -723.4073
1012500 1040.1772 2775.2007 1293.4909 171.5631 -97499.9237 6379.0283 0.0000 0.0000 17781.7072 -68058.7563 305.3459 -85840.4635 -67985.1381 308.3482 -372.2878 -344.7545 275757.7692 -90.1707 -90.1706
1020000 938.9237 2730.8217 1313.9853 176.2614 -97530.8695 6273.2239 0.0000 0.0000 18037.4858 -68060.1676 309.7381 -86097.6534 -67984.5357 308.2240 71.7550 99.6206 275757.7692 -80.1902 -80.1904
1027500 1056.1148 2645.1257 1267.0854 171.7791 -97613.1549 6302.7912 0.0000 0.0000 18111.1340 -68059.1246 311.0028 -86170.2586 -67984.9902 308.1145 -56.2088 -23.6151 275757.7692 -70.5819 -70.5812
1035000 1013.9693 2758.3838 1289.3224 158.5230 -97623.5505 6268.4610 0.0000 0.0000 18075.5177 -68059.3733 310.3912 -86134.8910 -67984.3956 308.3928 -604.3002 -573.7955 275757.7692 -62.0182 -62.0178
1042500 1025.6444 2770.9970 1274.4419 165.4861 -97440.5381 6183.2834 0.0000 0.0000 17964.8940 -68055.7913 308.4916 -86020.6853 -67985.3263 308.1256 -218.0843 -197.1273 275757.7692 -102.3876 -102.3899
1050000 938.5428 2811.5821 1287.7375 163.8864 -97316.8992 6077.9373 0.0000 0.0000 17978.9993 -68058.2137 308.7338 -86037.2130 -67982.3329 308.4620 -212.7100 -181.7215 275757.7692 -101.4287 -101.4275
1057500 1023.3178 2789.9054 1330.0048 163.8970 -97562.2679 6166.7810 0.0000 0.0000 18031.5999 -68056.7621 309.6371 -86088.3620 -67984.1131 308.3600 -337.1840 -310.2354 275757.7692 -57.5083 -57.5079
1065000 1009.1234 2780.8695 1247.9550 174.1423 -97335.1218 6168.0179 0.0000 0.0000 17899.3529 -68055.6609 307.3661 -85955.0138 -67982.6158 308.5221 -34.9263 -3.3350 275757.7692 -48.7551 -48.7546
1072500 1033.4852 2770.2092 1273.2612 160.6352 -97589.1840 6335.4186 0.0000 0.0000 17959.0121 -68057.1625 308.3906 -86016.1745 -67982.2074 308.2747 -808.3622 -781.9603 275757.7692 -70.6067 -70.6083
1080000 989.6579 2706.9923 1286.0719 156.2794 -97461.6975 6203.2954 0.0000 0.0000 18063.1660 -68056.2346 310.1791 -86119.4006 -67982.7878 308.3688 50.1987 82.2005 275757.7692 -32.8214 -32.8195
1087500 918.9951 2716.2601 1283.5687 174.8632 -97258.1687 6136.4851 0.0000 0.0000 17972.2949 -68055.7016 308.6187 -86027.9966 -67978.3804 308.2105 -46.0774 -13.1926 275757.7692 -66.9387 -66.9398
1095000 961.6095 2756.1294 1270.4549 162.1266 -97794.5254 6544.3683 0.0000 0.0000 18046.1357 -68053.7010 309.8867 -86099.8367 -67981.2431 308.1609 98.7459 130.8351 275757.7692 -38.0461 -38.0456
1102500 981.8485 2736.2127 1278.8126 169.3835 -97451.7838 6396.0467 0.0000 0.0000 17841.0408 -68048.4390 306.3648 -85889.4798 -67977.2265 308.0777 330.3255 354.2847 275757.7692 -70.4371 -70.4374
1110000 968.3270 2744.9935 1273.1810 173.0194 -97516.2832 6272.9191 0.0000 0.0000 18034.7056 -68049.1376 309.6904 -86083.8432 -67975.0872 308.2254 -161.7004 -137.1423 275757.7692 -45.5709 -45.5718
1117500 947.9658 2744.0686 1261.5190 171.4148 -97562.2036 6338.9652 0.0000 0.0000 18047.5390 -68050.7313 309.9108 -86098.2702 -67977.5025 308.3974 -206.7128 -178.1798 275757.7692 -84.1749 -84.1737
1125000 971.8660 2722.4460 1289.1115 172.7353 -97543.0309 6363.2237 0.0000 0.0000 17974.4418 -68049.2066 308.6555 -86023.6484 -67973.8006 308.5862 40.2197 67.3192 275757.7692 -60.5188 -60.5201
1132500 986.6973 2670.5762 1301.2264 168.2348 -97451.3227 6268.6316 0.0000 0.0000 18006.6140 -68049.3424 309.2080 -86055.9564 -67973.2527 308.4902 -409.3260 -376.2616 275757.7692 -47.4782 -47.4773
1140000 973.8978 2766.2400 1299.0149 163.1486 -97595.3230 6380.3823 0.0000 0.0000 17963.7919 -68048.8475 308.4727 -86012.6394 -67975.6931 308.5873 407.6168 434.8492 275757.7692 -62.3842 -62.3834
